danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,artist.name,track.popularity,year
0.683,0.481,8,-9.174,0,0.075,0.191,0.736,0.0907,0.47,120.001,audio_features,7jZHUhAmW5oq1cq6s8IxmK,spotify:track:7jZHUhAmW5oq1cq6s8IxmK,https://api.spotify.com/v1/tracks/7jZHUhAmW5oq1cq6s8IxmK,https://api.spotify.com/v1/audio-analysis/7jZHUhAmW5oq1cq6s8IxmK,160000,4,Sun Models (feat. Madelyn Grant),ODESZA,63,2016
0.516,0.808,3,-6.326,0,0.124,7.67e-4,0,0.31,0.786,94.946,audio_features,4yvKqltUO2ogccevjmT5Yc,spotify:track:4yvKqltUO2ogccevjmT5Yc,https://api.spotify.com/v1/tracks/4yvKqltUO2ogccevjmT5Yc,https://api.spotify.com/v1/audio-analysis/4yvKqltUO2ogccevjmT5Yc,235240,4,Forever (Pt. II) (feat. Kaleem Taylor),Snakehips,42,2016
0.487,0.724,0,-5.905,1,0.0289,0.00224,1.03e-5,0.213,0.546,102.03,audio_features,5wrGviDHdJ2MYgDRow14cu,spotify:track:5wrGviDHdJ2MYgDRow14cu,https://api.spotify.com/v1/tracks/5wrGviDHdJ2MYgDRow14cu,https://api.spotify.com/v1/audio-analysis/5wrGviDHdJ2MYgDRow14cu,225560,4,All We Ever Knew,The Head And The Heart,0,2016
0.431,0.497,4,-6.501,1,0.0318,0.383,0,0.116,0.414,142.972,audio_features,5BM4OgN8Giv7Wi5K8TN02M,spotify:track:5BM4OgN8Giv7Wi5K8TN02M,https://api.spotify.com/v1/tracks/5BM4OgN8Giv7Wi5K8TN02M,https://api.spotify.com/v1/audio-analysis/5BM4OgN8Giv7Wi5K8TN02M,234240,4,Morning Song,The Avett Brothers,46,2016
0.578,0.756,2,-5.82,1,0.115,0.157,2.32e-4,0.249,0.663,176.739,audio_features,5imShWWzwqfAJ9gXFpGAQh,spotify:track:5imShWWzwqfAJ9gXFpGAQh,https://api.spotify.com/v1/tracks/5imShWWzwqfAJ9gXFpGAQh,https://api.spotify.com/v1/audio-analysis/5imShWWzwqfAJ9gXFpGAQh,201173,4,Waiting On the World to Change,John Mayer,73,2016
0.451,0.951,1,-3.754,1,0.0645,3.8e-4,2.39e-6,0.261,0.442,162.065,audio_features,1d5UuboIPRMD4HaU3yycKC,spotify:track:1d5UuboIPRMD4HaU3yycKC,https://api.spotify.com/v1/tracks/1d5UuboIPRMD4HaU3yycKC,https://api.spotify.com/v1/audio-analysis/1d5UuboIPRMD4HaU3yycKC,213933,4,Somewhere I Belong,Linkin Park,56,2016
0.697,0.435,1,-8.297,0,0.0426,0.265,0.0356,0.119,0.811,145.883,audio_features,3QEXz3VrVDYXko90MtCcHE,spotify:track:3QEXz3VrVDYXko90MtCcHE,https://api.spotify.com/v1/tracks/3QEXz3VrVDYXko90MtCcHE,https://api.spotify.com/v1/audio-analysis/3QEXz3VrVDYXko90MtCcHE,215027,4,Three Thirty,Eighty Ninety,36,2016
0.462,0.632,5,-7.438,1,0.0248,0.091,0,0.397,0.585,74.268,audio_features,1eT2CjXwFXNx6oY5ydvzKU,spotify:track:1eT2CjXwFXNx6oY5ydvzKU,https://api.spotify.com/v1/tracks/1eT2CjXwFXNx6oY5ydvzKU,https://api.spotify.com/v1/audio-analysis/1eT2CjXwFXNx6oY5ydvzKU,238854,4,Hey Jude,The Beatles,65,2016
0.43,0.734,9,-10.043,0,0.102,0.314,2.86e-4,0.0808,0.0634,133.992,audio_features,5IhtQJt44TmqHvqXrZpYAq,spotify:track:5IhtQJt44TmqHvqXrZpYAq,https://api.spotify.com/v1/tracks/5IhtQJt44TmqHvqXrZpYAq,https://api.spotify.com/v1/audio-analysis/5IhtQJt44TmqHvqXrZpYAq,193427,4,Able to See Me,Hippie Sabotage,0,2016
0.556,0.93,3,-3.62,1,0.0538,9.21e-4,0.00514,0.108,0.514,100.143,audio_features,6Nl8qp2bhHHWGYt3BYmsY1,spotify:track:6Nl8qp2bhHHWGYt3BYmsY1,https://api.spotify.com/v1/tracks/6Nl8qp2bhHHWGYt3BYmsY1,https://api.spotify.com/v1/audio-analysis/6Nl8qp2bhHHWGYt3BYmsY1,223613,4,Paper Wings,Rise Against,50,2016
0.692,0.674,4,-4.281,1,0.0695,0.143,1.32e-6,0.0936,0.609,123.12,audio_features,5Ourl2AZ0g1FCDKv1oy5SM,spotify:track:5Ourl2AZ0g1FCDKv1oy5SM,https://api.spotify.com/v1/tracks/5Ourl2AZ0g1FCDKv1oy5SM,https://api.spotify.com/v1/audio-analysis/5Ourl2AZ0g1FCDKv1oy5SM,239813,4,Contradiction (feat. Jhené Aiko),Mali Music,40,2016
0.607,0.784,7,-6.293,1,0.268,0.433,0,0.689,0.482,81.004,audio_features,6JG0qhINKVwiHxqN85j7RG,spotify:track:6JG0qhINKVwiHxqN85j7RG,https://api.spotify.com/v1/tracks/6JG0qhINKVwiHxqN85j7RG,https://api.spotify.com/v1/audio-analysis/6JG0qhINKVwiHxqN85j7RG,278573,4,Crooked Smile (feat. TLC),J. Cole,0,2016
0.421,0.858,1,-4.535,1,0.0963,0.0134,0,0.067,0.491,173.255,audio_features,714Lw0m2SmCEhKSPw0Dn8J,spotify:track:714Lw0m2SmCEhKSPw0Dn8J,https://api.spotify.com/v1/tracks/714Lw0m2SmCEhKSPw0Dn8J,https://api.spotify.com/v1/audio-analysis/714Lw0m2SmCEhKSPw0Dn8J,206773,4,Welcome to My Life,Simple Plan,59,2016
0.719,0.962,0,-3.553,1,0.0407,0.00904,7.04e-4,0.0663,0.74,107.031,audio_features,1gsnHGopfdevZt7gbmygOq,spotify:track:1gsnHGopfdevZt7gbmygOq,https://api.spotify.com/v1/tracks/1gsnHGopfdevZt7gbmygOq,https://api.spotify.com/v1/audio-analysis/1gsnHGopfdevZt7gbmygOq,206413,4,The Instrumental (feat. Jonah Matranga),Lupe Fiasco,39,2016
0.52,0.448,1,-4.782,1,0.0305,0.757,0,0.092,0.283,122.182,audio_features,1CnOUJzM9F5JHUVepMQ2Dt,spotify:track:1CnOUJzM9F5JHUVepMQ2Dt,https://api.spotify.com/v1/tracks/1CnOUJzM9F5JHUVepMQ2Dt,https://api.spotify.com/v1/audio-analysis/1CnOUJzM9F5JHUVepMQ2Dt,197008,4,Find You - Acoustic - Live In Los Angeles,Zedd,46,2016
0.599,0.795,5,-5.127,0,0.129,0.0672,0,0.223,0.888,94.947,audio_features,7acxAP7tiaD8T18IeK7wAq,spotify:track:7acxAP7tiaD8T18IeK7wAq,https://api.spotify.com/v1/tracks/7acxAP7tiaD8T18IeK7wAq,https://api.spotify.com/v1/audio-analysis/7acxAP7tiaD8T18IeK7wAq,212781,4,Days With You,Snakehips,43,2016
0.55,0.377,4,-9.933,1,0.0254,0.442,0.0955,0.126,0.261,113.608,audio_features,65tH2GPMFCt8JtM2PM3MiX,spotify:track:65tH2GPMFCt8JtM2PM3MiX,https://api.spotify.com/v1/tracks/65tH2GPMFCt8JtM2PM3MiX,https://api.spotify.com/v1/audio-analysis/65tH2GPMFCt8JtM2PM3MiX,319787,4,Morning,Beck,53,2016
0.422,0.827,2,-5.31,1,0.0445,5.07e-4,0.765,0.198,0.327,152.956,audio_features,4PgJ0NUYaDDh659TW5mWBK,spotify:track:4PgJ0NUYaDDh659TW5mWBK,https://api.spotify.com/v1/tracks/4PgJ0NUYaDDh659TW5mWBK,https://api.spotify.com/v1/audio-analysis/4PgJ0NUYaDDh659TW5mWBK,221240,4,The Wolf,Mumford & Sons,0,2016
0.642,0.807,11,-7.135,1,0.0353,0.0129,0.862,0.106,0.838,102.984,audio_features,7HB8dbS0ck5qmJLeNkxoym,spotify:track:7HB8dbS0ck5qmJLeNkxoym,https://api.spotify.com/v1/tracks/7HB8dbS0ck5qmJLeNkxoym,https://api.spotify.com/v1/audio-analysis/7HB8dbS0ck5qmJLeNkxoym,170097,4,MTI - TWRK Remix,Koreless,0,2016
